Animal,Callnoise,Callnonoise
1,"47 (87, 303)","45 (133, 216)"
2,"2 (5, 18)","3 (8, 14)"
3,"3 (6, 22)","3 (7, 20)"
4,"2 (4, 14)","3 (8, 17)"
5,"5 (11, 32)","5 (14, 24)"
6,"1 (2, 9)","2 (5, 13)"
